,구,200미만,200이상500미만,500이상,삶만족도,지역만족도,200미만비,200이상500미만비,500이상비
0,종로구,100,511,146,6.6126,6.7244,13.21,67.5,19.29
1,중구,186,345,49,6.7132,6.6386,32.07,59.48,8.45
2,용산구,111,561,150,6.2892,6.4585,13.5,68.25,18.25
3,성동구,146,628,183,6.7216,6.7262,15.26,65.62,19.12
4,광진구,193,756,129,6.3799,6.4772,17.9,70.13,11.97
5,동대문구,170,687,171,6.5255,6.4242,16.54,66.83,16.63
6,중랑구,217,778,157,6.4817,6.412,18.84,67.53,13.63
7,성북구,206,881,157,6.3384,6.3445,16.56,70.82,12.62
8,강북구,176,796,106,7.0738,7.0725,16.33,73.84,9.83
9,도봉구,195,554,100,6.2162,6.3037,22.97,65.25,11.78
10,노원구,221,969,117,6.4486,6.5525,16.91,74.14,8.95
11,은평구,220,887,103,6.3765,6.4185,18.18,73.31,8.51
12,서대문구,159,727,117,6.64,6.7025,15.85,72.48,11.67
13,마포구,156,752,165,6.6349,6.7415,14.54,70.08,15.38
14,양천구,207,561,160,6.2545,6.2119,22.31,60.45,17.24
15,강서구,267,918,159,6.2711,6.2859,19.87,68.3,11.83
16,구로구,206,809,128,6.4994,6.5,18.02,70.78,11.2
17,금천구,234,591,64,6.2938,6.1954,26.32,66.48,7.2
18,영등포구,131,831,226,6.3735,6.4896,11.03,69.95,19.02
19,동작구,157,743,141,6.4562,6.4825,15.08,71.37,13.54
20,관악구,248,948,83,6.4552,6.38,19.39,74.12,6.49
21,서초구,92,739,214,6.6313,6.9129,8.8,70.72,20.48
22,강남구,92,717,308,6.6358,6.9207,8.24,64.19,27.57
23,송파구,205,941,240,6.6759,6.9225,14.79,67.89,17.32
24,강동구,180,902,138,6.3735,6.4254,14.75,73.93,11.31
