위치,분류,시설명
강남구,공연장/극장,17
강남구,기타,12
강남구,도서관,14
강남구,문화센터,14
강남구,미술관,35
강남구,박물관/기념관,8
강남구,영화관,21
강동구,공연장/극장,2
강동구,기타,6
강동구,도서관,7
강동구,문화센터,4
강동구,박물관/기념관,1
강동구,영화관,3
강북구,공연장/극장,2
강북구,기타,8
강북구,도서관,4
강북구,문화센터,5
강북구,미술관,1
강북구,박물관/기념관,2
강북구,영화관,3
강서구,공연장/극장,2
강서구,기타,4
강서구,도서관,3
강서구,문화센터,1
강서구,미술관,2
강서구,박물관/기념관,3
강서구,영화관,5
관악구,공연장/극장,2
관악구,기타,6
관악구,도서관,1
관악구,문화센터,2
관악구,미술관,3
관악구,박물관/기념관,2
관악구,방송국,1
관악구,영화관,2
광진구,공연장/극장,8
광진구,기타,5
광진구,도서관,2
광진구,문화센터,5
광진구,박물관/기념관,3
광진구,영화관,5
구로구,공연장/극장,5
구로구,기타,5
구로구,도서관,11
구로구,문화센터,2
구로구,미술관,2
구로구,박물관/기념관,3
구로구,영화관,4
금천구,공연장/극장,6
금천구,기타,7
금천구,도서관,5
금천구,문화센터,3
금천구,영화관,2
노원구,공연장/극장,2
노원구,기타,6
노원구,도서관,5
노원구,문화센터,3
노원구,미술관,4
노원구,박물관/기념관,2
노원구,방송국,1
노원구,영화관,5
도봉구,공연장/극장,1
도봉구,기타,6
도봉구,도서관,7
도봉구,문화센터,2
도봉구,박물관/기념관,4
도봉구,영화관,2
동대문구,공연장/극장,2
동대문구,기타,13
동대문구,도서관,5
동대문구,문화센터,1
동대문구,박물관/기념관,6
동대문구,방송국,1
동대문구,영화관,2
동작구,기타,4
동작구,도서관,11
동작구,문화센터,2
동작구,미술관,1
동작구,박물관/기념관,1
동작구,방송국,1
동작구,영화관,3
마포구,공연장/극장,7
마포구,기타,12
마포구,도서관,1
마포구,문화센터,11
마포구,미술관,7
마포구,박물관/기념관,8
마포구,방송국,1
마포구,영화관,8
서대문구,공연장/극장,3
서대문구,기타,3
서대문구,도서관,2
서대문구,문화센터,2
서대문구,미술관,2
서대문구,박물관/기념관,7
서대문구,영화관,5
서초구,공연장/극장,12
서초구,기타,3
서초구,도서관,7
서초구,문화센터,8
서초구,미술관,6
서초구,박물관/기념관,5
서초구,방송국,1
서초구,영화관,3
성동구,공연장/극장,4
성동구,기타,5
성동구,도서관,2
성동구,문화센터,1
성동구,박물관/기념관,5
성동구,영화관,2
성북구,공연장/극장,3
성북구,기타,8
성북구,도서관,3
성북구,문화센터,3
성북구,미술관,6
성북구,박물관/기념관,7
성북구,영화관,2
송파구,공연장/극장,8
송파구,기타,9
송파구,도서관,2
송파구,문화센터,9
송파구,미술관,4
송파구,박물관/기념관,5
송파구,방송국,1
송파구,영화관,4
양천구,공연장/극장,4
양천구,기타,4
양천구,도서관,3
양천구,문화센터,7
양천구,박물관/기념관,3
양천구,방송국,1
양천구,영화관,2
영등포구,공연장/극장,3
영등포구,기타,3
영등포구,도서관,4
영등포구,문화센터,6
영등포구,미술관,2
영등포구,박물관/기념관,1
영등포구,방송국,2
영등포구,영화관,3
용산구,공연장/극장,13
용산구,기타,21
용산구,도서관,6
용산구,문화센터,7
용산구,미술관,21
용산구,박물관/기념관,11
용산구,영화관,2
은평구,공연장/극장,4
은평구,기타,6
은평구,도서관,7
은평구,문화센터,2
은평구,미술관,2
은평구,박물관/기념관,3
은평구,영화관,3
종로구,공연장/극장,49
종로구,기타,20
종로구,도서관,10
종로구,문화센터,23
종로구,미술관,125
종로구,박물관/기념관,57
종로구,영화관,6
중구,공연장/극장,22
중구,기타,23
중구,도서관,1
중구,문화센터,8
중구,미술관,12
중구,박물관/기념관,11
중구,방송국,2
중구,영화관,19
중랑구,공연장/극장,2
중랑구,기타,6
중랑구,미술관,1
중랑구,영화관,3
